Strategy,CovMethod,CostBps,Ann.Return,Ann.Vol,Sharpe,Sortino,MaxDD,Avg.Turnover,Cost.Sum
1/N,ewma,5,0.06177226829430604,0.18496827428630336,0.333961424101799,0.4854078881225675,-0.5783406380273042,0.04885164082656652,0.006350713307453654
1/N,ewma,10,0.06146217483678207,0.18496795709910308,0.3322855255618764,0.48295803700561085,-0.5785955617747418,0.04885164082656652,0.012701426614907179
1/N,ewma,25,0.06053238740628819,0.18496703078517565,0.3272604158121114,0.47561303178875164,-0.5793594635426373,0.04885164082656652,0.031753566537259095
1/N,sample,5,0.06177226829430604,0.18496827428630336,0.333961424101799,0.4854078881225675,-0.5783406380273042,0.04885164082656652,0.006350713307453654
1/N,sample,10,0.06146217483678207,0.18496795709910308,0.3322855255618764,0.48295803700561085,-0.5785955617747418,0.04885164082656652,0.012701426614907179
1/N,sample,25,0.06053238740628819,0.18496703078517565,0.3272604158121114,0.47561303178875164,-0.5793594635426373,0.04885164082656652,0.031753566537259095
GA-UQ,ewma,5,0.07770699604719256,0.20466919346226048,0.3796711890669622,0.4468434698090479,-0.6202051957908612,0.4321442487446298,0.05617875233679081
GA-UQ,ewma,10,0.07494099706360524,0.20461447113415895,0.3662546282685397,0.43098994762143905,-0.6213283681660169,0.4321442487446298,0.1123575046735911
GA-UQ,ewma,25,0.06668060429544198,0.20445665239089125,0.3261356552388347,0.3836057282974,-0.62503402320505,0.4321442487446298,0.28089376168399666
GA-UQ,sample,5,0.06823266290606078,0.1999050455894252,0.3413253662751483,0.4004773481852889,-0.6322830785709279,0.39663702310221993,0.05156281300327924
GA-UQ,sample,10,0.0743460494274728,0.1994501317881386,0.372755077978315,0.43887767119371607,-0.6230045834841507,0.43130082436084943,0.11213821433380891
GA-UQ,sample,25,0.06606845452541976,0.19946116894846938,0.3312346702554846,0.3902050434980817,-0.6272522207704208,0.43130082436084943,0.2803455358345395
